BBL,BOROUGH,BLOCK,ADDRESS,YEAR
20101000010201.0,MN,1,1 ELLIS ISLAND,2010
20101000010010.0,MN,1,1 GOVERNORS ISLAND,2010
20101000010101.0,MN,1,1 LIBERTY ISLAND,2010
20101000020001.0,MN,2,MARGINAL STREET,2010
20101000020023.0,MN,2,PIER 6,2010
20101000030002.0,MN,3,PETER MINUIT PLAZA,2010
20101000030010.0,MN,3,1 SOUTH STREET,2010
20101000030004.0,MN,3,VAZIO,2010
20101000030001.0,MN,3,BATTERY PARK,2010
20101000030003.0,MN,3,PETER MINUIT PLAZA,2010
20101000047501.0,MN,4,1 WATER STREET,2010
20101000050010.0,MN,5,115 BROAD STREET,2010
20101000057501.0,MN,5,125 BROAD STREET,2010
20101000060001.0,MN,6,24 SOUTH STREET,2010
20101000070030.0,MN,7,24 WATER STREET,2010
20101000070033.0,MN,7,101 BROAD STREET,2010
20101000070027.0,MN,7,30 WATER STREET,2010
20101000077501.0,MN,7,1 COENTIES SLIP,2010
20101000070029.0,MN,7,26 WATER STREET,2010
20101000077502.0,MN,7,32 WATER STREET,2010
20101000070028.0,MN,7,28 WATER STREET,2010
20101000070038.0,MN,7,60 PEARL STREET,2010
20101000070035.0,MN,7,99 BROAD STREET,2010
20101000070031.0,MN,7,105 BROAD STREET,2010
20101000070037.0,MN,7,58 PEARL STREET,2010
20101000080039.0,MN,8,32 PEARL STREET,2010
20101000087501.0,MN,8,39 WHITEHALL STREET,2010
20101000080051.0,MN,8,6 WATER STREET,2010
20101000080044.0,MN,8,102 BROAD STREET,2010
20101000090001.0,MN,9,34 WHITEHALL STREET,2010
20101000090014.0,MN,9,17 STATE STREET,2010
20101000090029.0,MN,9,24 WHITEHALL STREET,2010
20101000090007.0,MN,9,7 STATE STREET,2010
20101000100019.0,MN,10,25 BRIDGE STREET,2010
20101000100033.0,MN,10,12 STONE STREET,2010
20101000100032.0,MN,10,6 STONE STREET,2010
20101000100014.0,MN,10,33 WHITEHALL STREET,2010
20101000100023.0,MN,10,1 WHITEHALL STREET,2010
20101000100016.0,MN,10,90 BROAD STREET,2010
20101000100001.0,MN,10,100 BROAD STREET,2010
20101000100015.0,MN,10,27 WHITEHALL STREET,2010
20101000110007.0,MN,11,16 BEAVER STREET,2010
20101000110009.0,MN,11,18 BEAVER STREET,2010
20101000110021.0,MN,11,80 BROAD STREET,2010
20101000110000.0,MN,11,VAZIO,2010
20101000110029.0,MN,11,11 STONE STREET,2010
20101000110017.0,MN,11,74 BROAD STREET,2010
20101000110011.0,MN,11,22 BEAVER STREET,2010
20101000110012.0,MN,11,24 BEAVER STREET,2010
20101000110014.0,MN,11,26 BEAVER STREET,2010
20101000110001.0,MN,11,2 BROADWAY,2010
20101000110015.0,MN,11,70 BROAD STREET,2010
20101000117501.0,MN,11,15 STONE STREET,2010
20101000110026.0,MN,11,88 BROAD STREET,2010
20101000110010.0,MN,11,20 BEAVER STREET,2010
20101000120001.0,MN,12,2 WHITEHALL STREET,2010
20101000120028.0,MN,12,WHITEHALL STREET,2010
20101000130005.0,MN,13,11 BROADWAY,2010
20101000130001.0,MN,13,1 BROADWAY,2010
20101000130027.0,MN,13,25 BROADWAY,2010
20101000150022.0,MN,15,21 WEST STREET,2010
20101000157502.0,MN,15,20 LITTLE WEST STREET,2010
20101000157501.0,MN,15,17 BATTERY PLACE,2010
20101000160001.0,MN,16,22 BATTERY PLACE,2010
20101000167513.0,MN,16,10 LITTLE WEST STREET,2010
20101000160185.0,MN,16,211 NORTH END AVENUE,2010
20101000160260.0,MN,16,200 WEST STREET,2010
20101000167506.0,MN,16,280 RECTOR PLACE,2010
20101000167511.0,MN,16,2 SOUTH END AVENUE,2010
20101000167516.0,MN,16,1 RIVER TERRACE,2010
20101000160180.0,MN,16,20 RIVER TERRACE,2010
20101000160195.0,MN,16,325 NORTH END AVENUE,2010
20101000167509.0,MN,16,21 SOUTH END AVENUE,2010
